"year" "cases"
1950 319000
1951 530000
1952 683000
1953 449000
1954 683000
1955 555000
1956 612000
1957 487000
1958 763000
1959 406000
1960 442000
1961 424000
1962 482000
1963 385000
1964 458000
1965 262000
1966 204000
1967 63000
1968 22000
1969 26000
1970 47351
1971 75290
1972 32275
1973 26690
1974 22094
1975 24374
1976 41126
1977 57345
1978 26871
1979 13597
1980 13506
1981 3124
1982 1714
1983 1497
1984 2587
1985 2822
1986 6282
1987 3655
1988 3396
1989 18193
1990 27786
1991 9643
1992 2237
1993 312
1994 963
1995 309
1996 508
1997 138
1998 100
1999 100
2000 86
2001 116
