EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 24-04-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, WATERFORD (TYCOR) (STAID: 1760).
Blended and updated with sources: 107547 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
107547,19610101,   55,    0
107547,19610102,   44,    0
107547,19610103,   25,    0
107547,19610104,   36,    0
107547,19610105,   31,    0
107547,19610106,   47,    0
107547,19610107,   41,    0
107547,19610108,   55,    0
107547,19610109,   50,    0
107547,19610110,   61,    0
107547,19610111,-9999,    9
107547,19610112,   39,    0
107547,19610113,   69,    0
107547,19610114,   22,    0
107547,19610115,   22,    0
107547,19610116,   38,    0
107547,19610117,-9999,    9
107547,19610118,-9999,    9
107547,19610119,   44,    0
107547,19610120,   39,    0
107547,19610121,   58,    0
107547,19610122,   69,    0
107547,19610123,   61,    0
107547,19610124,   56,    0
107547,19610125,   33,    0
107547,19610126,   55,    0
107547,19610127,   78,    0
107547,19610128,   66,    0
107547,19610129,   75,    0
107547,19610130,   78,    0
107547,19610131,   52,    0
107547,19610201,   47,    0
107547,19610202,   52,    0
107547,19610203,   56,    0
107547,19610204,   61,    0
107547,19610205,   86,    0
107547,19610206,   55,    0
107547,19610207,   67,    0
107547,19610208,   75,    0
107547,19610209,   99,    0
107547,19610210,   89,    0
107547,19610211,   91,    0
107547,19610212,   94,    0
107547,19610213,   91,    0
107547,19610214,   94,    0
107547,19610215,   66,    0
107547,19610216,   78,    0
107547,19610217,   91,    0
107547,19610218,  110,    0
107547,19610219,   83,    0
107547,19610220,   89,    0
107547,19610221,   72,    0
107547,19610222,   69,    0
107547,19610223,   72,    0
107547,19610224,   89,    0
107547,19610225,   78,    0
107547,19610226,   80,    0
107547,19610227,   63,    0
107547,19610228,   69,    0
107547,19610301,   81,    0
107547,19610302,  102,    0
107547,19610303,   74,    0
107547,19610304,   91,    0
107547,19610305,   94,    0
107547,19610306,  108,    0
107547,19610307,   94,    0
107547,19610308,   89,    0
107547,19610309,   83,    0
107547,19610310,   81,    0
107547,19610311,-9999,    9
107547,19610312,  119,    0
107547,19610313,  121,    0
107547,19610314,   86,    0
107547,19610315,   99,    0
107547,19610316,   81,    0
107547,19610317,   83,    0
107547,19610318,   67,    0
107547,19610319,   44,    0
107547,19610320,   66,    0
107547,19610321,   63,    0
107547,19610322,   67,    0
107547,19610323,   83,    0
107547,19610324,   94,    0
107547,19610325,   80,    0
107547,19610326,   99,    0
107547,19610327,   52,    0
107547,19610328,   56,    0
107547,19610329,   86,    0
107547,19610330,  119,    0
107547,19610331,  102,    0
107547,19610401,  108,    0
107547,19610402,   97,    0
107547,19610403,-9999,    9
107547,19610404,   88,    0
107547,19610405,   96,    0
107547,19610406,  100,    0
107547,19610407,   80,    0
107547,19610408,-9999,    9
107547,19610409,  100,    0
107547,19610410,  121,    0
107547,19610411,   75,    0
107547,19610412,  108,    0
107547,19610413,  111,    0
107547,19610414,   99,    0
107547,19610415,   94,    0
107547,19610416,   88,    0
107547,19610417,   97,    0
107547,19610418,  106,    0
107547,19610419,  102,    0
107547,19610420,   91,    0
107547,19610421,  108,    0
107547,19610422,  116,    0
107547,19610423,  111,    0
107547,19610424,   91,    0
107547,19610425,   97,    0
107547,19610426,   94,    0
107547,19610427,   99,    0
107547,19610428,  121,    0
107547,19610429,  119,    0
107547,19610430,  127,    0
107547,19610501,  114,    0
107547,19610502,   97,    0
107547,19610503,  105,    0
107547,19610504,  116,    0
107547,19610505,  114,    0
107547,19610506,  119,    0
107547,19610507,  102,    0
107547,19610508,  111,    0
107547,19610509,   99,    0
107547,19610510,  116,    0
107547,19610511,  130,    0
107547,19610512,  108,    0
107547,19610513,  136,    0
107547,19610514,  122,    0
107547,19610515,  122,    0
107547,19610516,  108,    0
107547,19610517,  121,    0
107547,19610518,  111,    0
107547,19610519,  114,    0
107547,19610520,  125,    0
107547,19610521,  116,    0
107547,19610522,  111,    0
107547,19610523,  114,    0
107547,19610524,  127,    0
107547,19610525,  119,    0
107547,19610526,   82,    0
107547,19610527,   78,    0
107547,19610528,   91,    0
107547,19610529,  108,    0
107547,19610530,  125,    0
107547,19610531,  125,    0
107547,19610601,  111,    0
107547,19610602,  133,    0
107547,19610603,  149,    0
107547,19610604,  138,    0
107547,19610605,  131,    0
107547,19610606,  136,    0
107547,19610607,  132,    0
107547,19610608,  114,    0
107547,19610609,  111,    0
107547,19610610,  133,    0
107547,19610611,  144,    0
107547,19610612,  114,    0
107547,19610613,  124,    0
107547,19610614,  130,    0
107547,19610615,  149,    0
107547,19610616,  121,    0
107547,19610617,  155,    0
107547,19610618,  130,    0
107547,19610619,  125,    0
107547,19610620,  122,    0
107547,19610621,  139,    0
107547,19610622,  152,    0
107547,19610623,  178,    0
