EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 24-04-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, WATERFORD (TYCOR) (STAID: 1760).
Blended and updated with sources: 107762 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107762,19410101,    0,    0
107762,19410102,    0,    0
107762,19410103,    0,    0
107762,19410104,    0,    0
107762,19410105,    0,    0
107762,19410106,    0,    0
107762,19410107,    0,    0
107762,19410108,   13,    0
107762,19410109,    0,    0
107762,19410110,    0,    0
107762,19410111,    0,    0
107762,19410112,    5,    0
107762,19410113,    3,    0
107762,19410114,    5,    0
107762,19410115,    0,    0
107762,19410116,    0,    0
107762,19410117,  157,    0
107762,19410118,   41,    0
107762,19410119,  340,    0
107762,19410120,  188,    0
107762,19410121,   13,    0
107762,19410122,    5,    0
107762,19410123,   48,    0
107762,19410124,  193,    0
107762,19410125,    8,    0
107762,19410126,  168,    0
107762,19410127,   97,    0
107762,19410128,   69,    0
107762,19410129,  104,    0
107762,19410130,  150,    0
107762,19410131,    0,    0
107762,19410201,    0,    0
107762,19410202,   25,    0
107762,19410203,    0,    0
107762,19410204,  130,    0
107762,19410205,   38,    0
107762,19410206,   15,    0
107762,19410207,    5,    0
107762,19410208,   10,    0
107762,19410209,   38,    0
107762,19410210,    0,    0
107762,19410211,   30,    0
107762,19410212,   81,    0
107762,19410213,  140,    0
107762,19410214,    5,    0
107762,19410215,    5,    0
107762,19410216,  132,    0
107762,19410217,   13,    0
107762,19410218,    0,    0
107762,19410219,    0,    0
107762,19410220,    0,    0
107762,19410221,    0,    0
107762,19410222,   58,    0
107762,19410223,    0,    0
107762,19410224,    0,    0
107762,19410225,    0,    0
107762,19410226,  132,    0
107762,19410227,   36,    0
107762,19410228,    3,    0
107762,19410301,   89,    0
107762,19410302,    0,    0
107762,19410303,   10,    0
107762,19410304,    0,    0
107762,19410305,    0,    0
107762,19410306,    0,    0
107762,19410307,    0,    0
107762,19410308,   33,    0
107762,19410309,    3,    0
107762,19410310,   48,    0
107762,19410311,    5,    0
107762,19410312,    0,    0
107762,19410313,    0,    0
107762,19410314,   10,    0
107762,19410315,    0,    0
107762,19410316,    0,    0
107762,19410317,   56,    0
107762,19410318,    3,    0
107762,19410319,    0,    0
107762,19410320,    0,    0
107762,19410321,    0,    0
107762,19410322,   20,    0
107762,19410323,    5,    0
107762,19410324,    0,    0
107762,19410325,   46,    0
107762,19410326,   13,    0
107762,19410327,    8,    0
107762,19410328,    0,    0
107762,19410329,    0,    0
107762,19410330,    0,    0
107762,19410331,  269,    0
107762,19410401,    8,    0
107762,19410402,    5,    0
107762,19410403,    0,    0
107762,19410404,    0,    0
107762,19410405,    0,    0
107762,19410406,    0,    0
107762,19410407,    0,    0
107762,19410408,   23,    0
107762,19410409,   13,    0
107762,19410410,    0,    0
107762,19410411,    0,    0
107762,19410412,    0,    0
107762,19410413,   30,    0
107762,19410414,    0,    0
107762,19410415,    0,    0
107762,19410416,    5,    0
107762,19410417,   99,    0
107762,19410418,    5,    0
107762,19410419,   28,    0
107762,19410420,   18,    0
107762,19410421,    0,    0
107762,19410422,    0,    0
107762,19410423,    0,    0
107762,19410424,    0,    0
107762,19410425,    0,    0
107762,19410426,    0,    0
107762,19410427,    0,    0
107762,19410428,    0,    0
107762,19410429,    0,    0
107762,19410430,    0,    0
107762,19410501,    0,    0
107762,19410502,    0,    0
107762,19410503,    0,    0
107762,19410504,    0,    0
107762,19410505,    0,    0
107762,19410506,    0,    0
107762,19410507,    0,    0
