"agecat","ethnicity","year","sex","Freq"
"<1","White","1989","Male",  10
"1-4","White","1989","Male",   2
"5-14","White","1989","Male",   0
"15-24","White","1989","Male",  29
"25-34","White","1989","Male", 267
"35-44","White","1989","Male", 606
"45-54","White","1989","Male", 335
"55-64","White","1989","Male", 349
"65-74","White","1989","Male", 465
"75-85","White","1989","Male", 639
"85+","White","1989","Male", 433
"<1","Black","1989","Male",  15
"1-4","Black","1989","Male",   2
"5-14","Black","1989","Male",   1
"15-24","Black","1989","Male",  14
"25-34","Black","1989","Male",  61
"35-44","Black","1989","Male",  98
"45-54","Black","1989","Male",  98
"55-64","Black","1989","Male", 105
"65-74","Black","1989","Male", 135
"75-85","Black","1989","Male",  85
"85+","Black","1989","Male",  30
"<1","Latino","1989","Male",   8
"1-4","Latino","1989","Male",   2
"5-14","Latino","1989","Male",   2
"15-24","Latino","1989","Male",   6
"25-34","Latino","1989","Male",  38
"35-44","Latino","1989","Male",  56
"45-54","Latino","1989","Male",  34
"55-64","Latino","1989","Male",  39
"65-74","Latino","1989","Male",  46
"75-85","Latino","1989","Male",  40
"85+","Latino","1989","Male",  27
"<1","Asian","1989","Male",  16
"1-4","Asian","1989","Male",   0
"5-14","Asian","1989","Male",   4
"15-24","Asian","1989","Male",  11
"25-34","Asian","1989","Male",  22
"35-44","Asian","1989","Male",  38
"45-54","Asian","1989","Male",  49
"55-64","Asian","1989","Male",  97
"65-74","Asian","1989","Male", 152
"75-85","Asian","1989","Male", 212
"85+","Asian","1989","Male", 115
"<1","White","1990","Male",  11
"1-4","White","1990","Male",   1
"5-14","White","1990","Male",   2
"15-24","White","1990","Male",  18
"25-34","White","1990","Male", 249
"35-44","White","1990","Male", 611
"45-54","White","1990","Male", 360
"55-64","White","1990","Male", 320
"65-74","White","1990","Male", 451
"75-85","White","1990","Male", 646
"85+","White","1990","Male", 404
"<1","Black","1990","Male",  13
"1-4","Black","1990","Male",   4
"5-14","Black","1990","Male",   1
"15-24","Black","1990","Male",  16
"25-34","Black","1990","Male",  73
"35-44","Black","1990","Male",  89
"45-54","Black","1990","Male",  57
"55-64","Black","1990","Male",  94
"65-74","Black","1990","Male", 138
"75-85","Black","1990","Male", 104
"85+","Black","1990","Male",  40
"<1","Latino","1990","Male",   9
"1-4","Latino","1990","Male",   1
"5-14","Latino","1990","Male",   0
"15-24","Latino","1990","Male",  27
"25-34","Latino","1990","Male",  61
"35-44","Latino","1990","Male",  72
"45-54","Latino","1990","Male",  41
"55-64","Latino","1990","Male",  29
"65-74","Latino","1990","Male",  37
"75-85","Latino","1990","Male",  52
"85+","Latino","1990","Male",  33
"<1","Asian","1990","Male",   9
"1-4","Asian","1990","Male",   1
"5-14","Asian","1990","Male",   3
"15-24","Asian","1990","Male",  12
"25-34","Asian","1990","Male",  32
"35-44","Asian","1990","Male",  31
"45-54","Asian","1990","Male",  47
"55-64","Asian","1990","Male",  92
"65-74","Asian","1990","Male", 189
"75-85","Asian","1990","Male", 200
"85+","Asian","1990","Male", 104
"<1","White","1991","Male",   5
"1-4","White","1991","Male",   5
"5-14","White","1991","Male",   2
"15-24","White","1991","Male",  30
"25-34","White","1991","Male", 258
"35-44","White","1991","Male", 656
"45-54","White","1991","Male", 424
"55-64","White","1991","Male", 342
"65-74","White","1991","Male", 474
"75-85","White","1991","Male", 619
"85+","White","1991","Male", 458
"<1","Black","1991","Male",  11
"1-4","Black","1991","Male",   2
"5-14","Black","1991","Male",   1
"15-24","Black","1991","Male",  16
"25-34","Black","1991","Male",  58
"35-44","Black","1991","Male",  93
"45-54","Black","1991","Male",  69
"55-64","Black","1991","Male",  83
"65-74","Black","1991","Male", 138
"75-85","Black","1991","Male",  96
"85+","Black","1991","Male",  33
"<1","Latino","1991","Male",   5
"1-4","Latino","1991","Male",   0
"5-14","Latino","1991","Male",   5
"15-24","Latino","1991","Male",  14
"25-34","Latino","1991","Male",  58
"35-44","Latino","1991","Male",  68
"45-54","Latino","1991","Male",  33
"55-64","Latino","1991","Male",  39
"65-74","Latino","1991","Male",  46
"75-85","Latino","1991","Male",  48
"85+","Latino","1991","Male",  26
"<1","Asian","1991","Male",  10
"1-4","Asian","1991","Male",   3
"5-14","Asian","1991","Male",   0
"15-24","Asian","1991","Male",  16
"25-34","Asian","1991","Male",  20
"35-44","Asian","1991","Male",  45
"45-54","Asian","1991","Male",  41
"55-64","Asian","1991","Male",  94
"65-74","Asian","1991","Male", 189
"75-85","Asian","1991","Male", 221
"85+","Asian","1991","Male", 117
"<1","White","1989","Female",   8
"1-4","White","1989","Female",   3
"5-14","White","1989","Female",   0
"15-24","White","1989","Female",   8
"25-34","White","1989","Female",  21
"35-44","White","1989","Female",  54
"45-54","White","1989","Female",  76
"55-64","White","1989","Female", 139
"65-74","White","1989","Female", 407
"75-85","White","1989","Female", 792
"85+","White","1989","Female",1001
"<1","Black","1989","Female",  11
"1-4","Black","1989","Female",   0
"5-14","Black","1989","Female",   1
"15-24","Black","1989","Female",   5
"25-34","Black","1989","Female",  20
"35-44","Black","1989","Female",  28
"45-54","Black","1989","Female",  30
"55-64","Black","1989","Female",  52
"65-74","Black","1989","Female", 110
"75-85","Black","1989","Female", 101
"85+","Black","1989","Female",  58
"<1","Latino","1989","Female",   9
"1-4","Latino","1989","Female",   0
"5-14","Latino","1989","Female",   0
"15-24","Latino","1989","Female",   3
"25-34","Latino","1989","Female",   3
"35-44","Latino","1989","Female",   8
"45-54","Latino","1989","Female",  12
"55-64","Latino","1989","Female",  19
"65-74","Latino","1989","Female",  25
"75-85","Latino","1989","Female",  30
"85+","Latino","1989","Female",  58
"<1","Asian","1989","Female",  20
"1-4","Asian","1989","Female",   0
"5-14","Asian","1989","Female",   2
"15-24","Asian","1989","Female",   5
"25-34","Asian","1989","Female",  11
"35-44","Asian","1989","Female",  11
"45-54","Asian","1989","Female",  26
"55-64","Asian","1989","Female",  66
"65-74","Asian","1989","Female", 104
"75-85","Asian","1989","Female", 145
"85+","Asian","1989","Female", 148
"<1","White","1990","Female",   9
"1-4","White","1990","Female",   0
"5-14","White","1990","Female",   1
"15-24","White","1990","Female",   1
"25-34","White","1990","Female",  27
"35-44","White","1990","Female",  40
"45-54","White","1990","Female",  71
"55-64","White","1990","Female", 137
"65-74","White","1990","Female", 335
"75-85","White","1990","Female", 716
"85+","White","1990","Female", 884
"<1","Black","1990","Female",  11
"1-4","Black","1990","Female",   2
"5-14","Black","1990","Female",   0
"15-24","Black","1990","Female",   7
"25-34","Black","1990","Female",  14
"35-44","Black","1990","Female",  32
"45-54","Black","1990","Female",  28
"55-64","Black","1990","Female",  63
"65-74","Black","1990","Female", 101
"75-85","Black","1990","Female", 101
"85+","Black","1990","Female",  54
"<1","Latino","1990","Female",   3
"1-4","Latino","1990","Female",   0
"5-14","Latino","1990","Female",   0
"15-24","Latino","1990","Female",   0
"25-34","Latino","1990","Female",   7
"35-44","Latino","1990","Female",  10
"45-54","Latino","1990","Female",   7
"55-64","Latino","1990","Female",  21
"65-74","Latino","1990","Female",  26
"75-85","Latino","1990","Female",  48
"85+","Latino","1990","Female",  67
"<1","Asian","1990","Female",   8
"1-4","Asian","1990","Female",   1
"5-14","Asian","1990","Female",   3
"15-24","Asian","1990","Female",   5
"25-34","Asian","1990","Female",   5
"35-44","Asian","1990","Female",  14
"45-54","Asian","1990","Female",  18
"55-64","Asian","1990","Female",  63
"65-74","Asian","1990","Female",  92
"75-85","Asian","1990","Female", 165
"85+","Asian","1990","Female", 154
"<1","White","1991","Female",  11
"1-4","White","1991","Female",   3
"5-14","White","1991","Female",   2
"15-24","White","1991","Female",   7
"25-34","White","1991","Female",  30
"35-44","White","1991","Female",  46
"45-54","White","1991","Female",  73
"55-64","White","1991","Female", 117
"65-74","White","1991","Female", 309
"75-85","White","1991","Female", 681
"85+","White","1991","Female", 916
"<1","Black","1991","Female",   7
"1-4","Black","1991","Female",   3
"5-14","Black","1991","Female",   0
"15-24","Black","1991","Female",   3
"25-34","Black","1991","Female",  12
"35-44","Black","1991","Female",  24
"45-54","Black","1991","Female",  34
"55-64","Black","1991","Female",  51
"65-74","Black","1991","Female",  86
"75-85","Black","1991","Female", 102
"85+","Black","1991","Female",  75
"<1","Latino","1991","Female",   5
"1-4","Latino","1991","Female",   2
"5-14","Latino","1991","Female",   1
"15-24","Latino","1991","Female",   0
"25-34","Latino","1991","Female",   7
"35-44","Latino","1991","Female",  12
"45-54","Latino","1991","Female",   8
"55-64","Latino","1991","Female",  21
"65-74","Latino","1991","Female",  35
"75-85","Latino","1991","Female",  52
"85+","Latino","1991","Female",  62
"<1","Asian","1991","Female",  10
"1-4","Asian","1991","Female",   1
"5-14","Asian","1991","Female",   0
"15-24","Asian","1991","Female",   7
"25-34","Asian","1991","Female",   9
"35-44","Asian","1991","Female",  18
"45-54","Asian","1991","Female",  24
"55-64","Asian","1991","Female",  69
"65-74","Asian","1991","Female", 101
"75-85","Asian","1991","Female", 155
"85+","Asian","1991","Female", 158
